,Random Forest,Gradient Boosting,Logistic Regression,Decision Tree,SVM,Mean,Std,Score,Model_Count
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,0.007821843118055774,0.0,,0.0,,0.0026072810393519244,0.003687252206769711,0.19048973453286439,1
Clostridioides difficile rpoB with mutation conferring resistance to rifampicin,0.007466705063325525,0.0,,0.0,,0.002488901687775175,0.003519838522264939,0.18409256025331702,1
Staphylococcus aureus rpoC conferring resistance to daptomycin,0.0074637171107759335,0.0,,0.0,,0.002487905703591978,0.0035184299879251523,0.18403806550126084,1
Enterococcus faecium cls conferring resistance to daptomycin,0.0074409244700528255,0.0,,0.0,,0.002480308156684275,0.003507685434047514,0.18362199569975196,1
Burkholderia dolosa gyrA conferring resistance to fluoroquinolones,0.007430878815067345,0.0,,0.0,,0.0024769596050224483,0.0035029498668730516,0.18343840638105327,1
Staphylococcus aureus mprF with mutation conferring resistance to daptomycin,0.0008268259072117595,0.0060031270706448715,,0.0,,0.002276650992618877,0.002656548919216325,0.17987928677479043,2
Escherichia coli EF-Tu mutants conferring resistance to Enacyloxin IIa,0.007132989646070678,0.0,,0.0,,0.002377663215356893,0.0033625235659133384,0.17793519342574704,1
Neisseria gonorrhoeae PBP2 conferring resistance to beta-lactam antibiotics,0.006969774255817784,0.0,,0.0,,0.002323258085272595,0.003285583093085452,0.17487061493610664,1
Neisseria gonorrhoeae parC conferring resistance to fluoroquinolones,0.006829126719610102,0.0,,0.0,,0.0022763755732033673,0.0032192812086790307,0.17220116111221145,1
Mycobacterium leprae gyrA conferring resistance to fluoroquinolones,0.00640652710056161,4.761168064371625e-16,,0.0,,0.002135509033520695,0.003020065837774891,0.16401676152243252,2
Mycobacterium leprae gyrB conferring resistance to fluoroquinolones,0.006373801144539836,0.0,,0.0,,0.002124600381513279,0.0030046386741591304,0.1633725038231909,1
Staphylococcus aureus pgsA mutations conferring resistance to daptomycin,0.0063478631513580516,1.7600716998512768e-17,,0.0,,0.002115954383786023,0.002992411386912986,0.16286079010070328,2
Helicobacter pylori gyrA conferring resistance to fluoroquinolones,0.006341953763828762,0.0,,0.0,,0.0021139845879429207,0.002989625674916578,0.1627440729123626,1
